name,latin
Gimpel,Pyrrhula pyrrhula
Rotkopfspecht,Melanerpes erythrocephalus
Gartenbaumläufer,Certhia brachydactyla
Blauflügel-Waldsänger,Vermivora cyanoptera
Kapuzenwaldsänger,Setophaga citrina
Schellente,Bucephala clangula
Hausgimpel,Haemorhous mexicanus
Nashornpelikan,Pelecanus erythrorhynchos
Rotflügelstärling,Agelaius phoeniceus
Rotschulterbussard,Buteo lineatus
Rotschwanzbussard,Buteo jamaicensis
Kohlmeise,Parus major
Nordamerik. Rohrdommel,Botaurus lentiginosus
Halbmond-Löffelente,Spatula rhynchotis
Blauhäher,Cyanocitta cristata
Brillensichler,Plegadis chihi
Indianermeise,Baeolophus bicolor
Truthahngeier,Cathartes aura
Veilchenschwalbe,Tachycineta thalassina
Wiesenstärling,Sturnella neglecta
Kieferntangare,Piranga ludoviciana
Sumpfschwalbe,Tachycineta bicolor
Schreikranich,Grus americana
Truthuhn,Meleagris gallopavo
Schlammtreter,Tringa semipalmata
Wilsonbekassine,Gallinago delicata
Graugans,Anser anser
Australspornpieper,Anthus novaeseelandiae
Purpurschwalbe,Progne subis
Ohrenlerche,Eremophila alpestris
Fasankuckuck,Centropus phasianinus
Dickzissel,Spiza americana
Ringschnabelmöwe,Larus delawarensis
Diademhäher,Cyanocitta stelleri
Drosselstelze,Grallina cyanoleuca
Scharlachtrugschmätzer,Epthianura tricolor
Wanderdrossel,Turdus migratorius
Schwarzspecht,Dryocopus martius
Götzenliest,Todiramphus sanctus
Flötenvogel,Gymnorhina tibicen
Friedenstäubchen,Geopelia placida
Abbott-Tölpel,Papasula abbotti
Thermometerhuhn,Leipoa ocellata
Habicht,Accipiter gentilis
Trompeterschwan,Cygnus buccinator
Kanadaschnepfe,Scolopax minor
Schleiereule,Tyto alba
Amerik. Scherenschnabel,Rynchops niger
Gambelmeise,Poecile gambeli
Zilpzalp,Phylloscopus collybita
Präriepieper,Anthus spragueii
Knutt,Calidris canutus
Pirol,Oriolus oriolus
Grasammer,Passerculus sandwichensis
Nachtreiher,Nycticorax nycticorax
Königslöffler,Platalea regia
Buchfink,Fringilla coelebs
Ostkreischeule,Megascops asio
Dunenspecht,Picoides pubescens
Weißrückenspecht,Dendrocopos leucotos
Schneeeule,Bubo scandiacus
Schwarzschnabelelster,Pica hudsonia
Elster,Pica pica
Graureiher,Ardea cinerea
Goldzeisig,Spinus tristes
Feldsperling,Passer montanus
Fichtenzeisig,Spinus pinus
Wacholdermeise,Baeolophus ridgwayi
Carolinazaunkönig,Thryothorus ludovicianus
