name,latin
Carolinaspecht,Melanerpes carolinus
Drosseluferläufer,Actitis macularius
Zwergkleiber,Sitta pygmaea
Schwirrammer,Spizella passerina
Grünreiher,Butorides virescens
Neuntöter,Lanius collurio
Papageitaucher,Fratercula arctica
Rabengeier,Coragyps atratus
Zimtbauch-Phoebetyrann,Sayornis saya
Buntfuß-Sturmschwalbe,Oceanites oceanicus
Goldammer,Emberiza citrinella
Turteltaube,Streptopelia turtur
Klappergrasmücke,Sylvia curruca
Kronwaldsänger,Setophaga coronata
Blauracke,Coracias garrulus
Emu,Dromaius novaehollandiae
Kiefernhäher,Nucifraga columbiana
Weißstorch,Ciconia ciconia
Eistaucher,Gavia immer
Streifenkauz,Strix varia
Fischadler,Pandion haliaetus
Braunmantel-Austernfischer,Haematopus palliatus
Bachstelze,Motacilla alba
Borstenkopf,Psittrichas fulgidus
Purpurstärling,Euphagus cyanocephalus
Präriehuhn,Tympanuchus cupido
Baltimoretrupial,Icterus galbula
Tannenhäher,Nucifraga caryocatactes
Rotsteiß-Mistelfresser,Dicaeum hirundinaceum
Papuahornvogel,Rhyticeros plicatus
Rotkardinal,Cardinalis cardinalis
Fleckenkauz,Strix occidentalis
Heuschreckenammer,Ammodramus savannarum
Zwergpinguin,Eudyptula minor
Weißaugen-Honigfresser,Phylidonyris novaehollandiae
Schwarzbrustwachtel,Coturnix pectoralis
Pappelwaldsänger,Setophaga cerulea
Graurücken-Leierschwanz,Menura novaehollandiae
Horsfieldlerche,Mirafra javanica
Dominikanermöwe,Larus dominicanus
Haubentaucher,Podiceps cristatus
Maorigerygone,Gerygone igata
