name,latin
Weisskopf-Seeadler,Haliaeetus leucocephalus
Maorifruchttaube,Hemiphaga novaeseelandiae
Braunaugenvireo,Vireo bellii
Goldkopf-Zistensänger,Cisticola exilis
Bairdammer,Ammodramus bairdii
Gouldpapageiamadine,Erythrura gouldiae
Sperber,Accipiter nisus
Schwarznacken-Stelzenläufer,Himantopus mexicanus
Braunhals-Säbelschnäbler,Recurvirostra americana
Kalifornien-Schopftyrann,Myiarchus cinerascens
Raggiparadiesvogel,Paradisaea raggiana
Rostband-Honigfresser,Conopophila albogularis
Virginiauhu,Bubo virginianus
Rosella,Platycercus eximius
Gelbbauch-Schopftyrann,Myiarchus crinitus
Steppenläufer,Pedionomus torquatus
Tui,Prosthemadera novaeseelandiae
Weißkehlente,Anas gracilis
Graubrustpitohui,Colluricincla harmonica
Australzwergente,Nettapus pulchellus
Mähnenente,Chenonetta jubata
Weißstirn-Schwatzvogel,Manorina melanocephala
Reinwardt-Großfußhuhn,Megapodius reinwardt
Kaiseradler,Aquila heliaca
Amerk. Blässhuhn,Fulica americana
Azurfink,Passerina caerulea
Star,Sturnus vulgaris
Rotschnabel-Pfeifgans,Dendrocygna autumnalis
Rotaugen-Kuhstärling,Molothrus aeneus
Perpousefruchttaube,Ptilinopus perousii
Buschmeise,Psaltriparus minimus
Nördlicher Hauszaunkönig,Troglodytes aedon
Königsralle,Rallus elegans
Rotlappen-Honigfresser,Anthochaera carunculata
Glücksschwalbe,Hirundo neoxena
Kea,Nestor notabilis
